Drug[UMLS_CUI];DrugTargets[EntrezGene];Disease[UMLS_CUI];DiseaseProteins[EntrezGene]
"[""C0006938"",""C0014025"",""C0065374"",""C0118168"",""C0076891"",""C0066685"",""C0072857"",""C0136123"",""C0072973"",""C0053091""]";1636;"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"[""C0017887"",""C0022252"",""C0064079"",""C0028128""]";2983;"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"[""C0020261"",""C0032613"",""C0020273"",""C0025696"",""C0025854"",""C0056831"",""C0008273"",""C0164608"",""C0040899"",""C0021186"",""C0004975""]";6559;"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"[""C0027302"",""C0030812"",""C0040233"",""C0031937"",""C0116569"",""C0041030"",""C0012963"",""C0068475""]";[153,154];"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"[""C0053799"",""C0000946"",""C0025859"",""C0004147"",""C0005320""]";153;"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"""C0008294""";[6557,6559];"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"[""C0002502"",""C0040869""]";6337;"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"""C0054836""";[146,147,148,153,154,155,3350,3357];"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"[""C0076840"",""C0016860"",""C0014963""]";6557;"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"[""C0037982"",""C0016280"",""C0961485""]";4306;"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"""C0054015""";4881;"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"[""C0248719"",""C0386393"",""C0717550"",""C0216784"",""C0288171"",""C0287041"",""C0126174"",""C2698291""]";185;"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"[""C0128513"",""C0002697""]";5139;"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"[""C0012265"",""C0011689"",""C0012258""]";[476,477,478,480];"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"""C0006376""";[476,6557,6558];"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"""C1176308""";554;"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"""C0966107""";[552,554];"""C0018801""";[152,153,155,183,185,213,325,478,487,488,551,554,847,1401,1431,1437,1440,1490,1536,1636,1906,2053,2628,2641,2660,2879,2920,2932,3084,3091,3162,3315,3357,3458,3553,3569,3630,3688,4306,4843,4846,4878,4879,4881,4973,5054,5170,5294,5327,5443,5502,5609,5617,5663,5741,5742,5743,5879,5972,6548,6647,6648,6649,7124,7132,7139,7422,7450,7498,8204,9370,9518,10516,10891,27035,50507,51738,90226,112616,161725]
"""C0025853""";[1813,3359,3360];"[""C0014852"",""C0018834""]";7442
"[""C0028978"",""C0050940"",""C0937846"",""C0378482"",""C0081876"",""C2348248""]";495;"[""C0014852"",""C0018834""]";7442
"""C0000970""";[1268,2166,5742,5743,7442];"[""C0014852"",""C0018834""]";7442
"[""C0015620"",""C0008783"",""C0034665"",""C0085154""]";3274;"[""C0014852"",""C0018834""]";7442
"[""C0021735"",""C0796545"",""C0021734"",""C0391001"",""C0164613"",""C0254119"",""C0244713""]";[3454,3455];"""C0018916""";[3417,3418,5728]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0018939""";[210,355,4524,4548,6521,7504,10661,54433]
"[""C0206460"",""C0019134"",""C0206461"",""C1098510"",""C0259507"",""C0216278""]";462;"""C0018939""";[210,355,4524,4548,6521,7504,10661,54433]
"""C0020402""";6241;"""C0018939""";[210,355,4524,4548,6521,7504,10661,54433]
"[""C0025242"",""C0060135"",""C0002403"",""C0022614""]";[2902,2903,2904,2905,2906,116443,116444];"""C0018939""";[210,355,4524,4548,6521,7504,10661,54433]
"[""C0040613"",""C0038418"",""C0042071""]";5340;"""C0018939""";[210,355,4524,4548,6521,7504,10661,54433]
"""C1541483""";727;"""C0019061""";[213,1728,2056,3552,3553,3569,7124]
"[""C1705480"",""C0011701""]";[552,553,554];"""C0019069""";[2157,2158]
"[""C0004057"",""C0020740"",""C0027396"",""C0038792"",""C0021246"",""C0022635"",""C0031990"",""C0040377"",""C0016377"",""C0012091"",""C0069739"",""C0015837"",""C0012228"",""C0025152"",""C0038878"",""C0073631"",""C0961209"",""C0054094"",""C0030125""]";[5742,5743];"""C0019080""";[624,1559,2147,2155,2353,3589,3690,5265,5327,5328,5420,5443,5972,64805,79001,83706]
"[""C0045010"",""C0025147"",""C0033308"",""C0025175"",""C0028356"",""C0023566"",""C0057558"",""C0057916""]";5241;"""C0019080""";[624,1559,2147,2155,2353,3589,3690,5265,5327,5328,5420,5443,5972,64805,79001,83706]
"""C0051809""";[5139,5140];"""C0019080""";[624,1559,2147,2155,2353,3589,3690,5265,5327,5328,5420,5443,5972,64805,79001,83706]
"""C0028833""";[6751,6752,6753,6754,6755];"""C0019080""";[624,1559,2147,2155,2353,3589,3690,5265,5327,5328,5420,5443,5972,64805,79001,83706]
"""C0000608""";[5327,5340];"""C0019080""";[624,1559,2147,2155,2353,3589,3690,5265,5327,5328,5420,5443,5972,64805,79001,83706]
"[""C0070166"",""C1620287"",""C1999375"",""C0040207""]";64805;"""C0019080""";[624,1559,2147,2155,2353,3589,3690,5265,5327,5328,5420,5443,5972,64805,79001,83706]
"[""C1705480"",""C0011701""]";[552,553,554];"""C0019080""";[624,1559,2147,2155,2353,3589,3690,5265,5327,5328,5420,5443,5972,64805,79001,83706]
"[""C0040613"",""C0038418"",""C0042071""]";5340;"""C0019080""";[624,1559,2147,2155,2353,3589,3690,5265,5327,5328,5420,5443,5972,64805,79001,83706]
"[""C0206460"",""C0019134"",""C0206461"",""C1098510"",""C0259507"",""C0216278""]";462;"""C0019080""";[624,1559,2147,2155,2353,3589,3690,5265,5327,5328,5420,5443,5972,64805,79001,83706]
"""C0030095""";5021;"""C0019080""";[624,1559,2147,2155,2353,3589,3690,5265,5327,5328,5420,5443,5972,64805,79001,83706]
"[""C0028094"",""C0015772""]";[775,776,778,779,4306];"""C0019080""";[624,1559,2147,2155,2353,3589,3690,5265,5327,5328,5420,5443,5972,64805,79001,83706]
"""C0003641""";[3818,5340];"""C0019080""";[624,1559,2147,2155,2353,3589,3690,5265,5327,5328,5420,5443,5972,64805,79001,83706]
"[""C2364481"",""C1831905""]";4352;"""C0019080""";[624,1559,2147,2155,2353,3589,3690,5265,5327,5328,5420,5443,5972,64805,79001,83706]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0019112""";5444
"[""C0073379"",""C0023660"",""C0079856"",""C0025887"",""C0085237"",""C0064636"",""C0069751"",""C0031379"",""C0213404"",""C0058831"",""C1608295"",""C0055443"",""C0033218"",""C0072510"",""C0039629"",""C0073571"",""C0025384"",""C0033124""]";[6323,6326,6328,6329,6331,6332,6334,6335,6336,11280];"""C0019112""";5444
"[""C0031469"",""C0032912"",""C0114873"",""C0076107"",""C0026078""]";[146,147,148];"""C0019112""";5444
"[""C0021735"",""C0796545"",""C0021734"",""C0391001"",""C0164613"",""C0254119"",""C0244713""]";[3454,3455];"""C0019196""";[949,975,1234,1548,1576,3077,3440,3458,4015,4017,4023,4988,5788,23586,282617]
"""C0035525""";3614;"""C0019196""";[949,975,1234,1548,1576,3077,3440,3458,4015,4017,4023,4988,5788,23586,282617]
"""C0006931""";7442;"""C0019360""";10866
"[""C0027368"",""C0030072"",""C0016384"",""C0025826"",""C0029995"",""C0285590"",""C0068771""]";367;"""C0019572""";[5443,8913]
"""C0060389""";[6715,6716];"""C0019572""";[5443,8913]
"[""C0037982"",""C0016280"",""C0961485""]";4306;"""C0019572""";[5443,8913]
"""C0002260""";4953;"""C0019572""";[5443,8913]
"[""C0021735"",""C0796545"",""C0021734"",""C0391001"",""C0164613"",""C0254119"",""C0244713""]";[3454,3455];"""C0019693""";[213,329,330,335,393,396,397,581,940,998,1026,1192,1232,1524,1647,1973,1978,2208,2971,3068,3106,3107,3240,3313,3315,3320,3326,3329,3458,3558,3559,3566,3577,3586,3608,3692,3811,3837,4067,4150,4153,4193,4927,4953,5265,5479,5685,5686,5687,5692,5699,5702,5705,5709,5714,5719,5720,5721,5727,5901,5902,6347,6348,6349,6356,6387,6421,6426,6556,6634,6722,6880,7203,7266,7307,7528,8662,8683,9230,9531,9861,10189,10197,10204,10280,10436,10527,10574,10594,10808,10946,10980,10981,22948,23198,23411,30835,64411,80273,85363]
"""C0218986""";[3559,3560];"""C0019693""";[213,329,330,335,393,396,397,581,940,998,1026,1192,1232,1524,1647,1973,1978,2208,2971,3068,3106,3107,3240,3313,3315,3320,3326,3329,3458,3558,3559,3566,3577,3586,3608,3692,3811,3837,4067,4150,4153,4193,4927,4953,5265,5479,5685,5686,5687,5692,5699,5702,5705,5709,5714,5719,5720,5721,5727,5901,5902,6347,6348,6349,6356,6387,6421,6426,6556,6634,6722,6880,7203,7266,7307,7528,8662,8683,9230,9531,9861,10189,10197,10204,10280,10436,10527,10574,10594,10808,10946,10980,10981,22948,23198,23411,30835,64411,80273,85363]
"[""C0013089"",""C0068314"",""C0020789"",""C0011015"",""C0014582""]";7153;"""C0019693""";[213,329,330,335,393,396,397,581,940,998,1026,1192,1232,1524,1647,1973,1978,2208,2971,3068,3106,3107,3240,3313,3315,3320,3326,3329,3458,3558,3559,3566,3577,3586,3608,3692,3811,3837,4067,4150,4153,4193,4927,4953,5265,5479,5685,5686,5687,5692,5699,5702,5705,5709,5714,5719,5720,5721,5727,5901,5902,6347,6348,6349,6356,6387,6421,6426,6556,6634,6722,6880,7203,7266,7307,7528,8662,8683,9230,9531,9861,10189,10197,10204,10280,10436,10527,10574,10594,10808,10946,10980,10981,22948,23198,23411,30835,64411,80273,85363]
"[""C0210630"",""C1136535""]";1441;"""C0019693""";[213,329,330,335,393,396,397,581,940,998,1026,1192,1232,1524,1647,1973,1978,2208,2971,3068,3106,3107,3240,3313,3315,3320,3326,3329,3458,3558,3559,3566,3577,3586,3608,3692,3811,3837,4067,4150,4153,4193,4927,4953,5265,5479,5685,5686,5687,5692,5699,5702,5705,5709,5714,5719,5720,5721,5727,5901,5902,6347,6348,6349,6356,6387,6421,6426,6556,6634,6722,6880,7203,7266,7307,7528,8662,8683,9230,9531,9861,10189,10197,10204,10280,10436,10527,10574,10594,10808,10946,10980,10981,22948,23198,23411,30835,64411,80273,85363]
"[""C0039736"",""C1144149""]";51185;"""C0019693""";[213,329,330,335,393,396,397,581,940,998,1026,1192,1232,1524,1647,1973,1978,2208,2971,3068,3106,3107,3240,3313,3315,3320,3326,3329,3458,3558,3559,3566,3577,3586,3608,3692,3811,3837,4067,4150,4153,4193,4927,4953,5265,5479,5685,5686,5687,5692,5699,5702,5705,5709,5714,5719,5720,5721,5727,5901,5902,6347,6348,6349,6356,6387,6421,6426,6556,6634,6722,6880,7203,7266,7307,7528,8662,8683,9230,9531,9861,10189,10197,10204,10280,10436,10527,10574,10594,10808,10946,10980,10981,22948,23198,23411,30835,64411,80273,85363]
"[""C0045010"",""C0025147"",""C0033308"",""C0025175"",""C0028356"",""C0023566"",""C0057558"",""C0057916""]";5241;"""C0019693""";[213,329,330,335,393,396,397,581,940,998,1026,1192,1232,1524,1647,1973,1978,2208,2971,3068,3106,3107,3240,3313,3315,3320,3326,3329,3458,3558,3559,3566,3577,3586,3608,3692,3811,3837,4067,4150,4153,4193,4927,4953,5265,5479,5685,5686,5687,5692,5699,5702,5705,5709,5714,5719,5720,5721,5727,5901,5902,6347,6348,6349,6356,6387,6421,6426,6556,6634,6722,6880,7203,7266,7307,7528,8662,8683,9230,9531,9861,10189,10197,10204,10280,10436,10527,10574,10594,10808,10946,10980,10981,22948,23198,23411,30835,64411,80273,85363]
"""C1667052""";1234;"""C0019693""";[213,329,330,335,393,396,397,581,940,998,1026,1192,1232,1524,1647,1973,1978,2208,2971,3068,3106,3107,3240,3313,3315,3320,3326,3329,3458,3558,3559,3566,3577,3586,3608,3692,3811,3837,4067,4150,4153,4193,4927,4953,5265,5479,5685,5686,5687,5692,5699,5702,5705,5709,5714,5719,5720,5721,5727,5901,5902,6347,6348,6349,6356,6387,6421,6426,6556,6634,6722,6880,7203,7266,7307,7528,8662,8683,9230,9531,9861,10189,10197,10204,10280,10436,10527,10574,10594,10808,10946,10980,10981,22948,23198,23411,30835,64411,80273,85363]
"""C0007257""";2936;"""C0019829""";[943,1440,2625,2950,3440,3596,4792,5770,5966,6929,8320,8837,10797,54658,64084,200942]
"[""C0009262"",""C0246415"",""C0042679"",""C0042670"",""C0078257"",""C0144576"",""C2830183""]";[7280,10381,10382,10383,81027,84617,203068,347688,347733];"""C0019829""";[943,1440,2625,2950,3440,3596,4792,5770,5966,6929,8320,8837,10797,54658,64084,200942]
"""C0216231""";1438;"""C0019829""";[943,1440,2625,2950,3440,3596,4792,5770,5966,6929,8320,8837,10797,54658,64084,200942]
"[""C0013089"",""C0068314"",""C0020789"",""C0011015"",""C0014582""]";7153;"""C0019829""";[943,1440,2625,2950,3440,3596,4792,5770,5966,6929,8320,8837,10797,54658,64084,200942]
"""C2973446""";[943,7280,10381,10382,10383,81027,84617,203068,347688,347733];"""C0019829""";[943,1440,2625,2950,3440,3596,4792,5770,5966,6929,8320,8837,10797,54658,64084,200942]
"[""C0004609"",""C0037537""]";[2550,9568];"""C0020179""";[1268,1827,2166,2668,3064,4128,4129,4968,6515,9131,51447,56616]
"[""C0031184"",""C0040989"",""C0050458""]";1813;"""C0020179""";[1268,1827,2166,2668,3064,4128,4129,4968,6515,9131,51447,56616]
"""C0031935""";[1812,1813,1814,1815,1816,3356];"""C0020179""";[1268,1827,2166,2668,3064,4128,4129,4968,6515,9131,51447,56616]
"[""C0037982"",""C0016280"",""C0961485""]";4306;"""C0020428""";[476,492,776,1584,1585]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0020437""";[796,799,846,1594,3569,4982,5741,5744,6569,7124,8600,9365]
"""C0073994""";799;"""C0020437""";[796,799,846,1594,3569,4982,5741,5744,6569,7124,8600,9365]
"[""C0257685"",""C0771311"",""C0379200""]";2224;"""C0020437""";[796,799,846,1594,3569,4982,5741,5744,6569,7124,8600,9365]
"""C1337242""";846;"""C0020437""";[796,799,846,1594,3569,4982,5741,5744,6569,7124,8600,9365]
"[""C0795635"",""C0907402""]";3643;"""C0020461""";[1586,3630]
"[""C0002502"",""C0040869""]";6337;"""C0020461""";[1586,3630]
"[""C0286651"",""C0965129"",""C0085542"",""C0074554"",""C0082608"",""C0024027""]";3156;"""C0020480""";[6101,116519,149998]
"[""C0017245"",""C0033228""]";5465;"""C0020480""";[6101,116519,149998]
"[""C0008318"",""C0249582"",""C0006674"",""C0043668"",""C0014695"",""C0006657""]";7421;"""C0020502""";[595,846,5745]
"[""C0020261"",""C0032613"",""C0020273"",""C0025696"",""C0025854"",""C0056831"",""C0008273"",""C0164608"",""C0040899"",""C0021186"",""C0004975""]";6559;"""C0020538""";[26,111,118,150,153,156,183,185,186,196,210,213,246,301,335,348,358,367,475,476,477,486,490,492,551,596,624,775,781,783,796,829,847,857,875,948,1071,1187,1215,1277,1281,1395,1401,1490,1535,1536,1543,1636,1813,1889,1906,1908,1909,2006,2056,2160,2161,2242,2335,2353,2475,2641,2643,2697,2701,2702,2729,2740,2778,2784,2796,2811,2863,2876,2908,2920,2952,2953,2982,3077,3091,3162,3240,3290,3291,3357,3383,3479,3630,3758,3779,3816,3952,3953,3972,4023,4057,4158,4190,4313,4343,4363,4646,4843,4846,4878,4879,4881,4973,5020,5054,5327,5340,5443,5465,5468,5473,5580,5624,5728,5741,5743,5970,5972,5997,6198,6337,6338,6340,6347,6403,6530,6558,6559,6647,6648,6649,6786,6794,6869,7040,7052,7124,7148,7157,7168,7200,7222,7224,7349,7351,7369,7412,7421,7450,7518,7917,8490,8639,8870,9351,9370,9445,9943,10052,10451,10911,10928,11255,23327,27020,27347,51083,51196,51752,54897,56996,57623,59272,63036,64116,65125,65266,84876,114818,119032,128611,140733,143872,221357,283450,348932,653361]
